text,true_label,tier,notes
Natural goodness,Claims,2b,Natural keyword
Made with love,Claims,3,No pattern - semantic
Handcrafted quality,Claims,3,No pattern - semantic
Restaurant style taste,Claims,3,No pattern - semantic
Home made flavor,Claims,3,No pattern - semantic
Chef recommended,Claims,3,No pattern - semantic
Family favorite,Claims,3,No pattern - semantic
Award winning recipe,Claims,3,No pattern - semantic
Customer choice,Claims,3,No pattern - semantic
Best seller,Claims,3,No pattern - semantic
McCain French Fries,Product Name,4,Brand + variant
Venky's Chicken Nuggets,Product Name,4,Brand + variant
Yippee Noodles,Product Name,4,Brand + variant
Top Ramen Curry,Product Name,4,Brand + variant
Ching's Secret Hakka Noodles,Product Name,4,Brand + variant
Knorr Soup,Product Name,4,Brand + variant
Maggi Cuppa Mania,Product Name,4,Brand + variant
Bikano Bhujia,Product Name,4,Brand + variant
Priya Pickle,Product Name,4,Brand + variant
MTR Ready to Eat,Product Name,4,Brand + variant
McCain,Brand Name,4,Brand only
Venky's,Brand Name,4,Brand only
Yippee,Brand Name,4,Brand only
Top Ramen,Brand Name,4,Brand only
Ching's Secret,Brand Name,4,Brand only
Knorr,Brand Name,4,Brand only
Bikano,Brand Name,4,Brand only
Priya,Brand Name,4,Brand only
MTR,Brand Name,4,Brand only
contact@icecream.in,Email,1,Regex pattern
www.frozendesserts.com,URL,1,Regex pattern
FSSAI No: 44556677889900,License Number,1,FSSAI format
Ingredients: Milk cream sugar vanilla,Ingredients,2a,Anchor present
Cream milk chocolate,Ingredients,3,No anchor - semantic
Contains milk and soy,Allergen Warning,2a,Contains anchor
Keep frozen at minus 18 celsius,Storage Instructions,2a,Keep + frozen
Do not refreeze once thawed,Storage Instructions,3,No anchor - semantic
Manufactured by Vadilal Industries Ahmedabad,Address,2a,Manufactured by anchor
Net Quantity: 1 liter,Net Quantity,2a,Net Quantity anchor
Rich and creamy,Claims,2b,Rich pattern
Made with real milk,Claims,2b,Made with pattern
Premium quality,Claims,3,No pattern - semantic
Vadilal Cassata Ice Cream,Product Name,4,Brand + variant
Amul Ice Cream,Product Name,4,Brand + variant
Kwality Walls Cornetto,Product Name,4,Brand + variant
Mother Dairy Ice Cream,Product Name,4,Brand + variant
Vadilal,Brand Name,4,Brand only
Kwality Walls,Brand Name,4,Brand only
info@teacompany.in,Email,1,Regex pattern
www.tealeaves.com,URL,1,Regex pattern
License Number: 334455667,License Number,1,License format
Ingredients: Tea leaves natural flavor,Ingredients,2a,Anchor present
Tea leaves,Ingredients,3,No anchor - semantic
Store in cool dry place away from strong odors,Storage Instructions,2a,Store anchor
Best brewed hot,Usage Instructions,3,No anchor - semantic
Packed by Tata Consumer Products Bangalore,Address,2a,Packed by anchor
Net Weight: 250g,Net Quantity,2a,Net Weight anchor
Rich aroma,Claims,2b,Rich pattern
Pure tea leaves,Claims,3,No pattern - semantic
Refreshing beverage,Claims,3,No pattern - semantic
Tata Tea Gold,Product Name,4,Brand + variant
Red Label Natural Care,Product Name,4,Brand + variant
Taj Mahal Tea,Product Name,4,Brand + variant
Brooke Bond Red Label,Product Name,4,Brand + variant
Society Tea,Product Name,4,Brand only
Wagh Bakri Tea,Product Name,4,Brand + variant
Tata Tea,Brand Name,4,Brand only
Red Label,Brand Name,4,Brand only
Taj Mahal,Brand Name,4,Brand only
Brooke Bond,Brand Name,4,Brand only
Society,Brand Name,4,Brand only
Wagh Bakri,Brand Name,4,Brand only
support@coffee.in,Email,1,Regex pattern
www.coffeebeans.com,URL,1,Regex pattern
FSSAI License: 55667788990011,License Number,1,FSSAI format
Ingredients: Coffee beans,Ingredients,2a,Anchor present
Roasted coffee,Ingredients,3,No anchor - semantic
Store in airtight container,Storage Instructions,2a,Store anchor
Add hot water and stir,Usage Instructions,3,No anchor - semantic
Manufactured by CCL Products Hyderabad,Address,2a,Manufactured by anchor
Net Wt: 200g,Net Quantity,2a,Net Wt anchor
Rich coffee flavor,Claims,2b,Rich pattern
Premium roast,Claims,3,No pattern - semantic
Strong and aromatic,Claims,3,No pattern - semantic
Nescafe Classic Coffee,Product Name,4,Brand + variant
Bru Instant Coffee,Product Name,4,Brand + variant
Continental Coffee,Product Name,4,Brand only
Nescafe,Brand Name,4,Brand only
Bru,Brand Name,4,Brand only
Continental,Brand Name,4,Brand only
care@sweeteners.com,Email,1,Regex pattern
www.sugarsubstitutes.in,URL,1,Regex pattern
Lic No: 445566778,License Number,1,License format
Ingredients: Aspartame acesulfame potassium,Ingredients,2a,Anchor present
Store at room temperature,Storage Instructions,2a,Store anchor
Use as per requirement,Usage Instructions,3,No anchor - semantic
Manufactured by Zydus Wellness Ahmedabad,Address,2a,Manufactured by anchor
Net Weight: 100 pellets,Net Quantity,2a,Net Weight anchor
Zero calorie sweetener,Claims,2b,Zero pattern
Sugar free,Claims,2b,Free pattern
Safe for diabetics,Claims,3,No pattern - semantic
Sugar Free Gold,Product Name,4,Brand + variant
Equal Sweetener,Product Name,4,Brand + variant
Sugar Free,Brand Name,4,Brand only
Equal,Brand Name,4,Brand only
