id,text,language,label,sub_category
367,"Nutrition Facts per 100g: Energy 1680kJ/400kcal, Fat 15g (of which saturates 7g), Carbohydrate 60g (of which sugars 25g), Protein 8g, Salt 0.5g",en,Nutritional Fact Label,nutrition_table
368,微波炉高火加热2分钟,zh,Usage Instructions,preparation_guide
369,冷暗所で保存してください,ja,Storage Instructions,storage_guidance
370,ALÉRGENOS: Ver ingredientes en NEGRITA,es,Allergy Labeling,allergen_warning
371,750ml ℮,tr,Net Quantity of Contents,weight_volume
372,Frescor da Fazenda,pt,Marketing Claims,promotional_text
373,Certificato Rainforest Alliance,it,Certifications,certification_mark
374,750 ml ℮,fr,Net Quantity of Contents,weight_volume
375,Sin azúcar,es,Nutritional and Health Claims,health_claim
376,Calidad Premium,es,Marketing Claims,promotional_text
377,Produced in a facility that handles SESAME,en,Allergy Labeling,allergen_warning
378,소비기한: 10/2027,ko,Sell-By / Best-Before / Expiry Dates,expiry_date
379,Rich & Creamy Taste,en,Marketing Claims,promotional_text
380,25°C以下で保存,ja,Storage Instructions,storage_guidance
381,Новый улучшенный рецепт!,ru,Marketing Claims,promotional_text
382,"INGREDIENTES: Farinha de trigo, Açúcar, Óleo de palma, Sal, Fermentos químicos (E500, E503)",pt,Ingredients,ingredient_list
383,Najlepiej spożyć przed: 12/2027,pl,Sell-By / Best-Before / Expiry Dates,expiry_date
384,100%天然成分,zh,Marketing Claims,promotional_text
385,www.almarai.com,ar,Emails or Website URL,contact_info
386,Najlepiej spożyć przed: 09/2027,pl,Sell-By / Best-Before / Expiry Dates,expiry_date
387,使用前摇匀,zh,Usage Instructions,preparation_guide
388,يفضل استهلاكه قبل: 10/2026,ar,Sell-By / Best-Before / Expiry Dates,expiry_date
389,CONT. LÍQ.: 1 kg,pt,Net Quantity of Contents,weight_volume
390,철분 강화,ko,Nutritional and Health Claims,health_claim
391,"Contains: Milk, Soy, Wheat, Eggs",en,Allergy Labeling,allergen_warning
392,सीधी धूप से बचाएं,hi,Storage Instructions,storage_guidance
393,Tüketim Tarihi: 06/2027,tr,Sell-By / Best-Before / Expiry Dates,expiry_date
394,개봉 후 냉장 보관,ko,Storage Instructions,storage_guidance
395,एलर्जी जानकारी: ग्लूटेन शामिल है,hi,Allergy Labeling,allergen_warning
396,可能含有花生和坚果的痕迹,zh,Allergy Labeling,allergen_warning
397,San Pellegrino Acqua Frizzante,it,Product Name and Identity,brand_product
398,保质期至：02/2027,zh,Sell-By / Best-Before / Expiry Dates,expiry_date
399,250 मिली,hi,Net Quantity of Contents,weight_volume
400,"Contains: Tomato concentrate, Water, Sugar, Salt, Acidity regulator (citric acid), Spices",en,Ingredients,ingredient_list
401,www.danone.fr,fr,Emails or Website URL,contact_info
402,ग्राहक सेवा@अमूल.in,hi,Emails or Website URL,contact_info
403,www.nongshim.com,ko,Emails or Website URL,contact_info
404,Cocinar a 180°C durante 25 minutos,es,Usage Instructions,preparation_guide
405,ISO 22000,pl,Certifications,certification_mark
406,電子レンジで2分間強で加熱,ja,Usage Instructions,preparation_guide
407,Não congelar. Manter refrigerado.,pt,Storage Instructions,storage_guidance
408,يفضل استهلاكه قبل: 03/2027,ar,Sell-By / Best-Before / Expiry Dates,expiry_date
409,ISO 22000,ko,Certifications,certification_mark
410,Wholesome Goodness,en,Marketing Claims,promotional_text
411,Senza zucchero,it,Nutritional and Health Claims,health_claim
412,Wyprodukowano w zakładzie przetwarzającym SEZAM,pl,Allergy Labeling,allergen_warning
413,Sem OGM Verificado,pt,Certifications,certification_mark
414,मदर डेयरी दही,hi,Product Name and Identity,brand_product
415,Non-GMO 인증,ko,Certifications,certification_mark
416,할랄 인증,ko,Certifications,certification_mark
417,اطبخ على 180 درجة مئوية لمدة 25 دقيقة,ar,Usage Instructions,preparation_guide
418,El calcio contribuye al mantenimiento normal de los huesos,es,Nutritional and Health Claims,health_claim
419,Enrichi en fer,fr,Nutritional and Health Claims,health_claim
420,Ingredientes 100% Naturales,es,Marketing Claims,promotional_text
421,"INGRÉDIENTS: Eau, Concentré de tomate, Sel, Épices, Correcteur d'acidité (acide citrique)",fr,Ingredients,ingredient_list
422,ISO 22000,tr,Certifications,certification_mark
423,ISO 22000,hi,Certifications,certification_mark
424,www.nestle.de,de,Emails or Website URL,contact_info
425,कैल्शियम सामान्य हड्डियों के रखरखाव में योगदान देता है,hi,Nutritional and Health Claims,health_claim
426,発売元：江崎グリコ株式会社、大阪市西淀川区歌島4-6-5,ja,Manufacturer Name and Address,manufacturer_info
427,Store away from direct sunlight,en,Storage Instructions,storage_guidance
428,"Wyprodukowane przez: Mlekovita Spółdzielnia, 18-200 Wysokie Mazowieckie",pl,Manufacturer Name and Address,manufacturer_info
429,"Bevat: Melk, Soja, Tarwe, Eieren",nl,Allergy Labeling,allergen_warning
430,Contains SULPHITES,en,Allergy Labeling,allergen_warning
431,service.client@marque.fr,fr,Emails or Website URL,contact_info
432,Reduzierter Natriumgehalt,de,Nutritional and Health Claims,health_claim
433,निष्पक्ष व्यापार प्रमाणित,hi,Certifications,certification_mark
434,アレルゲン：グルテン含有,ja,Allergy Labeling,allergen_warning
435,含有益生菌,zh,Nutritional and Health Claims,health_claim
436,"INGREDIENTES: Harina de trigo, Azúcar, Aceite de palma, Sal, Gasificantes (E500, E503)",es,Ingredients,ingredient_list
437,Faible en matières grasses,fr,Nutritional and Health Claims,health_claim
438,Qualidade Premium,pt,Marketing Claims,promotional_text
439,Wedel Czekolada Mleczna,pl,Product Name and Identity,brand_product
440,NET 454g (1 lb),en,Net Quantity of Contents,weight_volume
441,Ricco di Omega-3,it,Nutritional and Health Claims,health_claim
442,Nestlé MOÇA Leite Condensado,pt,Product Name and Identity,brand_product
443,ISO 22000,de,Certifications,certification_mark
444,Podgrzewać w mikrofalówce 2 minuty na maksymalnej mocy,pl,Usage Instructions,preparation_guide
445,"Contiene: Latte scremato in polvere, Uova, Emulsionante (lecitina di soia E322)",it,Ingredients,ingredient_list
446,"Produziert von Nestlé Deutschland AG, Lyoner Straße 23, 60528 Frankfurt",de,Manufacturer Name and Address,manufacturer_info
447,समृद्ध और मलाईदार स्वाद,hi,Marketing Claims,promotional_text
448,FSC® Certified,en,Certifications,certification_mark
449,含まれるもの：魚,ja,Allergy Labeling,allergen_warning
450,"Valeurs Nutritives pour 100g: Énergie 1680kJ/400kcal, Matières grasses 15g (dont acides gras saturés 7g), Glucides 60g (dont sucres 25g), Protéines 8g, Sel 0,5g",fr,Nutritional Fact Label,nutrition_table
451,Torku Çikolata,tr,Product Name and Identity,brand_product
452,250 ml e,en,Net Quantity of Contents,weight_volume
453,Agitare bene prima dell'uso,it,Usage Instructions,preparation_guide
454,NET WT 500g,en,Net Quantity of Contents,weight_volume
455,富含Omega-3,zh,Nutritional and Health Claims,health_claim
456,Naturellement Délicieux,fr,Marketing Claims,promotional_text
457,YER FISTIĞI ve KABUKLU MEYVELERİN izlerini içerebilir,tr,Allergy Labeling,allergen_warning
458,"Hergestellt in einem Betrieb, der SESAM verarbeitet",de,Allergy Labeling,allergen_warning
459,开封后冷藏并在3天内食用完毕,zh,Storage Instructions,storage_guidance
460,200mlの熱湯に加えてかき混ぜる,ja,Usage Instructions,preparation_guide
461,전자레인지 고출력 2분 가열,ko,Usage Instructions,preparation_guide
462,Rijke & Romige Smaak,nl,Marketing Claims,promotional_text
463,www.mlekovita.com.pl,pl,Emails or Website URL,contact_info
464,Bogaty i kremowy smak,pl,Marketing Claims,promotional_text
465,Barilla Penne Rigate Pasta,en,Product Name and Identity,brand_product
466,kontakt@marke.de,de,Emails or Website URL,contact_info
467,Conserver dans un endroit frais et sec,fr,Storage Instructions,storage_guidance
468,Fuente de Vitamina D,es,Nutritional and Health Claims,health_claim
469,优质品质,zh,Marketing Claims,promotional_text
470,"2,5 litros",es,Net Quantity of Contents,weight_volume
471,250 ml e,es,Net Quantity of Contents,weight_volume
472,Fin: 02/2027,fr,Sell-By / Best-Before / Expiry Dates,expiry_date
473,No Added Sugar,en,Nutritional and Health Claims,health_claim
474,Na opening in de koelkast bewaren en binnen 3 dagen consumeren,nl,Storage Instructions,storage_guidance
475,EU 유기농 인증,ko,Certifications,certification_mark
476,www.barilla.it,it,Emails or Website URL,contact_info
477,Frescura de Granja,es,Marketing Claims,promotional_text
478,Сертифицировано HACCP,ru,Certifications,certification_mark
479,पारले जी बिस्कुट,hi,Product Name and Identity,brand_product
480,"СОСТАВ: Вода, Томатная паста, Соль, Специи",ru,Ingredients,ingredient_list
481,CONSUMIR DE PREFERÊNCIA ANTES DE: 07/2026,pt,Sell-By / Best-Before / Expiry Dates,expiry_date
482,原料：大米（80%）、玉米、维生素E、铁、烟酸,zh,Ingredients,ingredient_list
483,"Содержит: Молоко, Сою, Пшеницу, Яйца",ru,Allergy Labeling,allergen_warning
484,"Üretici: Ülker Bisküvi Sanayi A.Ş., Organize Sanayi Bölgesi, İstanbul",tr,Manufacturer Name and Address,manufacturer_info
485,"판매원: 롯데제과, 서울특별시 영등포구 양평로 128",ko,Manufacturer Name and Address,manufacturer_info
486,内容量 500g,ja,Net Quantity of Contents,weight_volume
487,Contiene probiotici,it,Nutritional and Health Claims,health_claim
488,营养成分表（每100克）：能量1680千焦/400千卡，脂肪15克（饱和脂肪7克），碳水化合物60克（糖25克），蛋白质8克，钠200毫克,zh,Nutritional Fact Label,nutrition_table
489,Kann SENF enthalten,de,Allergy Labeling,allergen_warning
490,300 Gramm ℮,de,Net Quantity of Contents,weight_volume
491,ZAWIERA: RYBY,pl,Allergy Labeling,allergen_warning
492,Nouvelle Recette Améliorée!,fr,Marketing Claims,promotional_text
493,"Contiene: Leche desnatada en polvo, Huevo, Jarabe de glucosa, Soja",es,Ingredients,ingredient_list
494,저지방,ko,Nutritional and Health Claims,health_claim
495,"İÇİNDEKİLER: Buğday unu, Şeker, Palm yağı, Tuz, Kabartıcılar (E500, E503)",tr,Ingredients,ingredient_list
496,besuchen Sie: marke.de,de,Emails or Website URL,contact_info
497,Coca-Cola® Clásica,es,Product Name and Identity,brand_product
498,직사광선을 피하여 보관,ko,Storage Instructions,storage_guidance
499,Перед употреблением хорошо взболтать,ru,Usage Instructions,preparation_guide
500,www.nestle.es,es,Emails or Website URL,contact_info
501,"Producido por Nestlé España, Plaza Carlos Trías Bertrán 7, Madrid",es,Manufacturer Name and Address,manufacturer_info
502,Biologico UE,it,Certifications,certification_mark
503,"Per porzione: Calorie 120, Grassi 3g, Carboidrati 22g, Proteine 2g",it,Nutritional Fact Label,nutrition_table
504,Douwe Egberts Koffie,nl,Product Name and Identity,brand_product
505,Keep refrigerated at 0-4°C,en,Storage Instructions,storage_guidance
506,100% natürliche Zutaten,de,Marketing Claims,promotional_text
507,शामिल है: मछली,hi,Allergy Labeling,allergen_warning
508,ISO 22000,zh,Certifications,certification_mark
509,からしが混入する可能性あり,ja,Allergy Labeling,allergen_warning
510,Премиум качество,ru,Marketing Claims,promotional_text
511,"Distribütör: Migros Ticaret A.Ş., Ataköy, İstanbul",tr,Manufacturer Name and Address,manufacturer_info
512,Producido en instalaciones que manipulan SÉSAMO,es,Allergy Labeling,allergen_warning
513,0-4°C पर फ्रिज में रखें,hi,Storage Instructions,storage_guidance
514,製造日：06/2026,ja,Sell-By / Best-Before / Expiry Dates,expiry_date
515,500g ℮,zh,Net Quantity of Contents,weight_volume
516,Micro-ondes 90 secondes à puissance maximale,fr,Usage Instructions,preparation_guide
517,Enthält Probiotika,de,Nutritional and Health Claims,health_claim
518,750ml ℮,pl,Net Quantity of Contents,weight_volume
519,오메가-3 풍부,ko,Nutritional and Health Claims,health_claim
520,Doğal Lezzet,tr,Marketing Claims,promotional_text
521,200ml kaynar suya ekleyin ve karıştırın,tr,Usage Instructions,preparation_guide
522,Hoog vezelgehalte,nl,Nutritional and Health Claims,health_claim
523,Snickers Chocolate Bar,en,Product Name and Identity,brand_product
524,USDA Organic,en,Certifications,certification_mark
525,Bio certifié,fr,Certifications,certification_mark
526,contact@merk.nl,nl,Emails or Website URL,contact_info
527,www.meiji.co.jp,ja,Emails or Website URL,contact_info
528,Non-GMO सत्यापित,hi,Certifications,certification_mark
529,Certified B Corporation,en,Certifications,certification_mark
530,"INGREDIENTI: Farina di grano, Zucchero, Olio di palma, Sale, Agenti lievitanti (E500, E503)",it,Ingredients,ingredient_list
531,犹太洁食认证,zh,Certifications,certification_mark
532,Bron van vitamine D,nl,Nutritional and Health Claims,health_claim
533,Kosher,en,Certifications,certification_mark
534,EU Organic,en,Certifications,certification_mark
535,微波炉高火90秒,zh,Usage Instructions,preparation_guide
536,Hoher Ballaststoffgehalt,de,Nutritional and Health Claims,health_claim
537,農場直送の新鮮さ,ja,Marketing Claims,promotional_text
538,ALLERGENI: Vedere ingredienti in GRASSETTO,it,Allergy Labeling,allergen_warning
539,无糖,zh,Nutritional and Health Claims,health_claim
540,開封後は冷蔵保存,ja,Storage Instructions,storage_guidance
541,電子レンジ強で90秒,ja,Usage Instructions,preparation_guide
542,HACCP Sertifikalı,tr,Certifications,certification_mark
543,منتج بواسطة: نادك، الرياض، المملكة العربية السعودية,ar,Manufacturer Name and Address,manufacturer_info
544,समाप्ति: 07/2027,hi,Sell-By / Best-Before / Expiry Dates,expiry_date
545,"Produzido por Danone Brasil, Estrada dos Bandeirantes 14.300, Rio de Janeiro",pt,Manufacturer Name and Address,manufacturer_info
546,Verkade Biscuits Digestive,nl,Product Name and Identity,brand_product
547,正味 300g,ja,Net Quantity of Contents,weight_volume
548,Commercio Equo,it,Certifications,certification_mark
549,人工着色料・香料不使用,ja,Marketing Claims,promotional_text
550,250 ml e,pt,Net Quantity of Contents,weight_volume
551,아황산염 함유,ko,Allergy Labeling,allergen_warning
552,"Une fois ouvert, à conserver au réfrigérateur et à consommer dans les 3 jours",fr,Storage Instructions,storage_guidance
553,Ten minste houdbaar tot: 04/2027,nl,Sell-By / Best-Before / Expiry Dates,expiry_date
554,Mikrowelle 90 Sekunden bei höchster Stufe,de,Usage Instructions,preparation_guide
555,Certificado Halal,pt,Certifications,certification_mark
556,2 Minuten in der Mikrowelle bei höchster Stufe erhitzen,de,Usage Instructions,preparation_guide
557,Senza zuccheri aggiunti,it,Nutritional and Health Claims,health_claim
558,www.danone.ru,ru,Emails or Website URL,contact_info
559,Refrigerate after opening,en,Storage Instructions,storage_guidance
560,Kellogg's® Corn Flakes Original,en,Product Name and Identity,brand_product
561,Energy: 450kcal | Fat: 20g | Carbs: 50g | Protein: 10g | Sodium: 300mg,en,Nutritional Fact Label,nutrition_table
562,维生素D来源,zh,Nutritional and Health Claims,health_claim
563,0-4°C'de buzdolabında saklayın,tr,Storage Instructions,storage_guidance
564,Contains Live Cultures,en,Nutritional and Health Claims,health_claim
565,식이섬유 풍부,ko,Nutritional and Health Claims,health_claim
566,750мл ℮,ru,Net Quantity of Contents,weight_volume
567,개봉 후 냉장 보관하여 3일 이내 섭취,ko,Storage Instructions,storage_guidance
568,250 ml e,it,Net Quantity of Contents,weight_volume
569,Годен до: 07/2027,ru,Sell-By / Best-Before / Expiry Dates,expiry_date
570,180°Cで25分間焼く,ja,Usage Instructions,preparation_guide
571,NET WT 1 kg,en,Net Quantity of Contents,weight_volume
572,Laag vet,nl,Nutritional and Health Claims,health_claim
573,Net İçerik: 1 kg,tr,Net Quantity of Contents,weight_volume
574,Ten minste houdbaar tot: 08/2026,nl,Sell-By / Best-Before / Expiry Dates,expiry_date
575,MINDESTHALTBAR BIS: 12/2026,de,Sell-By / Best-Before / Expiry Dates,expiry_date
576,"INGREDIENTES: Agua, Tomate (25%), Sal, Especias, Acidulante (ácido cítrico)",es,Ingredients,ingredient_list
577,Активия Йогурт Натуральный,ru,Product Name and Identity,brand_product
578,CONTEÚDO LÍQUIDO 500g,pt,Net Quantity of Contents,weight_volume
579,contacto@marcaespañola.com,es,Emails or Website URL,contact_info
580,Riche en fibres,fr,Nutritional and Health Claims,health_claim
581,访问: brand.com,zh,Emails or Website URL,contact_info
582,保质期至：10/2027,zh,Sell-By / Best-Before / Expiry Dates,expiry_date
583,Ajouter à 200ml d'eau bouillante et mélanger,fr,Usage Instructions,preparation_guide
584,EU有機認証,ja,Certifications,certification_mark
585,تجارة عادلة معتمدة,ar,Certifications,certification_mark
586,Microondas a máxima potencia 90 segundos,es,Usage Instructions,preparation_guide
587,문의@삼양.com,ko,Emails or Website URL,contact_info
588,Niet-GGO Geverifieerd,nl,Certifications,certification_mark
589,1.5 लीटर,hi,Net Quantity of Contents,weight_volume
590,Ferrero Rocher Cioccolatini,it,Product Name and Identity,brand_product
591,Aquecer por 2 minutos no micro-ondas em potência máxima,pt,Usage Instructions,preparation_guide
592,"Manufactured for Tesco Stores Ltd., Welwyn Garden City, AL7 1GA, UK",en,Manufacturer Name and Address,manufacturer_info
593,公平贸易认证,zh,Certifications,certification_mark
594,"1,5 л",ru,Net Quantity of Contents,weight_volume
595,CONTAINS: FISH,en,Allergy Labeling,allergen_warning
596,Masa netto 500g,pl,Net Quantity of Contents,weight_volume
597,Cozinhar a 180°C por 25 minutos,pt,Usage Instructions,preparation_guide
598,معتمد خالٍ من الكائنات المعدلة وراثيًا,ar,Certifications,certification_mark
599,उपयोग की अंतिम तिथि: 06/2027,hi,Sell-By / Best-Before / Expiry Dates,expiry_date
600,Boil for 10 minutes before serving,en,Usage Instructions,preparation_guide
601,Tymbark Sok Pomarańczowy,pl,Product Name and Identity,brand_product
602,Uiterste gebruiksdatum: 09/2026,nl,Sell-By / Best-Before / Expiry Dates,expiry_date
603,Goût Riche et Crémeux,fr,Marketing Claims,promotional_text
604,"Распространитель: Вимм-Билль-Данн, Москва",ru,Manufacturer Name and Address,manufacturer_info
605,生产商：伊利集团，中国内蒙古呼和浩特市金川开发区,zh,Manufacturer Name and Address,manufacturer_info
606,Zweryfikowane bez GMO,pl,Certifications,certification_mark
607,"1,5 L",pt,Net Quantity of Contents,weight_volume
608,Contient des SULFITES,fr,Allergy Labeling,allergen_warning
609,Кошер,ru,Certifications,certification_mark
610,250 ml,nl,Net Quantity of Contents,weight_volume
611,娃哈哈营养快线,zh,Product Name and Identity,brand_product
612,Cont. Net. 200g,fr,Net Quantity of Contents,weight_volume
613,Kasher,fr,Certifications,certification_mark
614,Naturally Delicious,en,Marketing Claims,promotional_text
615,À CONSOMMER DE PRÉFÉRENCE AVANT FIN: 12/2026,fr,Sell-By / Best-Before / Expiry Dates,expiry_date
616,MHD: 05/2027,de,Sell-By / Best-Before / Expiry Dates,expiry_date
617,Kalsiyum normal kemiklerin korunmasına katkıda bulunur,tr,Nutritional and Health Claims,health_claim
618,Heat for 2 minutes in microwave on HIGH,en,Usage Instructions,preparation_guide
619,Przechowywać w chłodnym i suchym miejscu,pl,Storage Instructions,storage_guidance
620,Knorr Gemüsebrühe,de,Product Name and Identity,brand_product
621,땅콩과 견과류 미량 함유 가능성,ko,Allergy Labeling,allergen_warning
622,प्राकृतिक रूप से स्वादिष्ट,hi,Marketing Claims,promotional_text
623,"Contém: Leite, Soja, Trigo, Ovos",pt,Allergy Labeling,allergen_warning
624,MINDESTHALTBAR BIS: 04/2027,de,Sell-By / Best-Before / Expiry Dates,expiry_date
625,"Par portion: Calories 120, Lipides 3g, Glucides 22g, Protéines 2g",fr,Nutritional Fact Label,nutrition_table
626,Certificado Ecológico UE,es,Certifications,certification_mark
627,カルシウムは骨の正常な維持に貢献,ja,Nutritional and Health Claims,health_claim
628,"Besin Değerleri 100g'da: Enerji 400kcal, Yağ 15g (doymuş yağ 7g), Karbonhidrat 60g (şekerler 25g), Protein 8g, Tuz 0,5g",tr,Nutritional Fact Label,nutrition_table
629,يحفظ في الثلاجة بعد الفتح,ar,Storage Instructions,storage_guidance
630,配料：小麦粉、糖、棕榈油、盐、膨松剂（碳酸氢钠E500）、乳化剂（大豆卵磷脂E322）,zh,Ingredients,ingredient_list
631,RSPO Certified Sustainable Palm Oil,en,Certifications,certification_mark
632,Cad: 09/2026,es,Sell-By / Best-Before / Expiry Dates,expiry_date
633,冷凍しないでください。冷蔵保存。,ja,Storage Instructions,storage_guidance
634,Conservar en lugar fresco y seco,es,Storage Instructions,storage_guidance
635,Enthält SULFITE,de,Allergy Labeling,allergen_warning
636,Waga netto: 1 kg,pl,Net Quantity of Contents,weight_volume
637,Président Beurre Doux,fr,Product Name and Identity,brand_product
638,Premium Kwaliteit,nl,Marketing Claims,promotional_text
639,칼슘은 정상적인 뼈 유지에 기여,ko,Nutritional and Health Claims,health_claim
640,Reich & cremiger Geschmack,de,Marketing Claims,promotional_text
641,अमूल ताज़ा दूध,hi,Product Name and Identity,brand_product
642,"원료: 쌀(80%), 옥수수, 비타민E, 철분, 나이아신",ko,Ingredients,ingredient_list
643,Calcium draagt bij tot het behoud van normale botten,nl,Nutritional and Health Claims,health_claim
644,"सामग्री: पानी, टमाटर, नमक, मसाले",hi,Ingredients,ingredient_list
645,ISO 22000,ru,Certifications,certification_mark
646,"Je Portion: Kalorien 120, Fett 3g, Kohlenhydrate 22g, Eiweiß 2g",de,Nutritional Fact Label,nutrition_table
647,清真认证,zh,Certifications,certification_mark
648,Rainforest Alliance Certified™,en,Certifications,certification_mark
649,亜硫酸塩含有,ja,Allergy Labeling,allergen_warning
650,उपयोग से पहले अच्छी तरह हिलाएं,hi,Usage Instructions,preparation_guide
651,उपयोग की अंतिम तिथि: 02/2028,hi,Sell-By / Best-Before / Expiry Dates,expiry_date
652,レインフォレスト・アライアンス認証,ja,Certifications,certification_mark
653,يحفظ بعيدًا عن أشعة الشمس المباشرة,ar,Storage Instructions,storage_guidance
654,Do not freeze. Keep chilled.,en,Storage Instructions,storage_guidance
655,코셔 인증,ko,Certifications,certification_mark
656,Rainforest Alliance Gecertificeerd,nl,Certifications,certification_mark
657,栄養成分表示（100gあたり）：エネルギー400kcal、脂質15g（飽和脂肪酸7g）、炭水化物60g（糖質25g）、たんぱく質8g、食塩相当量0.5g,ja,Nutritional Fact Label,nutrition_table
658,Nach dem Öffnen im Kühlschrank aufbewahren,de,Storage Instructions,storage_guidance
659,Ülker Çikolatalı Gofret,tr,Product Name and Identity,brand_product
660,Sodio ridotto,it,Nutritional and Health Claims,health_claim
661,HACCP-Zertifiziert,de,Certifications,certification_mark
662,Cuire à 180°C pendant 25 minutes,fr,Usage Instructions,preparation_guide
663,Tüketim Tarihi: 11/2026,tr,Sell-By / Best-Before / Expiry Dates,expiry_date
664,全新改良配方！,zh,Marketing Claims,promotional_text
665,Füllmenge 500g,de,Net Quantity of Contents,weight_volume
666,Unter 25°C lagern,de,Storage Instructions,storage_guidance
667,Fatto con Frutta Vera,it,Marketing Claims,promotional_text
668,Naturalmente Delizioso,it,Marketing Claims,promotional_text
669,16.9 FL OZ (500mL),en,Net Quantity of Contents,weight_volume
670,オメガ3豊富,ja,Nutritional and Health Claims,health_claim
671,Chauffer 2 minutes au micro-ondes à puissance maximale,fr,Usage Instructions,preparation_guide
672,الكالسيوم يساهم في الحفاظ على عظام طبيعية,ar,Nutritional and Health Claims,health_claim
673,Certificado HACCP,pt,Certifications,certification_mark
674,يفضل استهلاكه قبل: 04/2026,ar,Sell-By / Best-Before / Expiry Dates,expiry_date
675,Agua Mineral Natural Evian,es,Product Name and Identity,brand_product
676,Refrigerar después de abrir,es,Storage Instructions,storage_guidance
677,Produzido em instalações que manipulam SÉSAMO,pt,Allergy Labeling,allergen_warning
678,Przed użyciem dobrze wstrząsnąć,pl,Usage Instructions,preparation_guide
679,旺旺雪饼,zh,Product Name and Identity,brand_product
680,750 मिली ℮,hi,Net Quantity of Contents,weight_volume
681,Nicht einfrieren. Kühl lagern.,de,Storage Instructions,storage_guidance
682,¡Nueva Receta Mejorada!,es,Marketing Claims,promotional_text
683,原材料：小麦粉、砂糖、パーム油、食塩、膨張剤（E500、E503）、乳化剤（大豆由来E322）,ja,Ingredients,ingredient_list
684,製造日：10/2027,ja,Sell-By / Best-Before / Expiry Dates,expiry_date
685,Refrigerar após abrir,pt,Storage Instructions,storage_guidance
686,माइक्रोवेव में उच्च शक्ति पर 2 मिनट गर्म करें,hi,Usage Instructions,preparation_guide
687,Alto teor de fibras,pt,Nutritional and Health Claims,health_claim
688,Natuurlijk Heerlijk,nl,Marketing Claims,promotional_text
689,Son Kullanma Tarihi: 03/2027,tr,Sell-By / Best-Before / Expiry Dates,expiry_date
690,Высокое содержание клетчатки,ru,Nutritional and Health Claims,health_claim
691,CADUCIDAD: 11/2026,es,Sell-By / Best-Before / Expiry Dates,expiry_date
692,Orgânico UE,pt,Certifications,certification_mark
693,"ZUTATEN: Wasser, Tomatenpüree, Salz, Gewürze, Säuerungsmittel (Citronensäure)",de,Ingredients,ingredient_list
694,고객센터@롯데.kr,ko,Emails or Website URL,contact_info
695,Danone Activia Yaourt Nature,fr,Product Name and Identity,brand_product
696,ISO 22000,ja,Certifications,certification_mark
697,www.yili.com,zh,Emails or Website URL,contact_info
698,Freschezza dalla Fattoria,it,Marketing Claims,promotional_text
699,Tüketim Tarihi: 02/2028,tr,Sell-By / Best-Before / Expiry Dates,expiry_date
700,तिल का उपयोग करने वाली सुविधा में उत्पादित,hi,Allergy Labeling,allergen_warning
701,"제조원: 농심, 서울특별시 동작구 여의대방로 112",ko,Manufacturer Name and Address,manufacturer_info
702,"1,5 L",tr,Net Quantity of Contents,weight_volume
703,CONTENIDO 450g,es,Net Quantity of Contents,weight_volume
704,Fritar em óleo quente por 3-4 minutos,pt,Usage Instructions,preparation_guide
705,Haribo Goldbären Fruchtgummi,de,Product Name and Identity,brand_product
706,www.frieslandcampina.com,nl,Emails or Website URL,contact_info
707,Biologisch Gecertificeerd,nl,Certifications,certification_mark
708,ओमेगा-3 से भरपूर,hi,Nutritional and Health Claims,health_claim
709,Sabor Rico e Cremoso,pt,Marketing Claims,promotional_text
710,Scad: 09/2026,it,Sell-By / Best-Before / Expiry Dates,expiry_date
711,اتصل بنا: brand.com,ar,Emails or Website URL,contact_info
712,Conservar abaixo de 25°C,pt,Storage Instructions,storage_guidance
713,Кальций способствует поддержанию нормальных костей,ru,Nutritional and Health Claims,health_claim
714,出品商：光明乳业，上海市闵行区吴中路,zh,Manufacturer Name and Address,manufacturer_info
715,"Vertrieb: EDEKA AG, New-York-Ring 6, 22297 Hamburg, Deutschland",de,Manufacturer Name and Address,manufacturer_info
716,유기농 인증,ko,Certifications,certification_mark
717,1 gallon (3.78L),en,Net Quantity of Contents,weight_volume
718,Аллергены: Содержит ГЛЮТЕН,ru,Allergy Labeling,allergen_warning
719,Coca-Cola Классическая,ru,Product Name and Identity,brand_product
720,纯素认证,zh,Certifications,certification_mark
721,"SKŁADNIKI: Woda, Koncentrat pomidorowy, Sól, Przyprawy",pl,Ingredients,ingredient_list
722,Fabriqué dans un atelier utilisant SÉSAME,fr,Allergy Labeling,allergen_warning
723,12 FL OZ,en,Net Quantity of Contents,weight_volume
724,请冷藏保存于0-4°C,zh,Storage Instructions,storage_guidance
725,СОДЕРЖИТ: РЫБУ,ru,Allergy Labeling,allergen_warning
726,1.5L,ko,Net Quantity of Contents,weight_volume
727,Pınar Süt Tam Yağlı,tr,Product Name and Identity,brand_product
728,समाप्ति: 06/2027,hi,Sell-By / Best-Before / Expiry Dates,expiry_date
729,Naturalmente Delicioso,es,Marketing Claims,promotional_text
730,서늘하고 건조한 곳에 보관,ko,Storage Instructions,storage_guidance
731,Kann Spuren von ERDNÜSSEN und SCHALENFRÜCHTEN enthalten,de,Allergy Labeling,allergen_warning
732,"Manufactured by Unilever, 100 Victoria Embankment, London EC4Y 0DY, UK",en,Manufacturer Name and Address,manufacturer_info
733,"함유성분: 물, 분유, 코코아가루, 식물성유지, 변성전분",ko,Ingredients,ingredient_list
